,Label,Value
0,FROM:,"Hope Raymond hope@thurstonfoods.com Thurston Foods, Inc. 30 Thurston Drive Wallingford, CT 06492"
1,TO:,"MC CAIN FOODSERVICE, INC. P.O. BOX 2464 CAROL STREAM"
2,Our Invoice Number:,165480
3,Amount Due:,$2.64 Per Unit
4,Purchased Through:,"MC CAIN FOODSERVICE, INC. (5355) Program Westbrook Elks BPOE#1784 Program"
5,MFG Program ID:,10/01/2017
6,Stop Date:,09/30/2018
7,Program Specifics:,$0.00/unit Regular Program (unless a specific item program overides this amount) The Following Details Itemize The Allowed Sales Under This
8,Please make check payable to and send all payments to:,program activity between 01/01/2018 03/31/2018 Amount $2.64
9,Program ID:,Product
10,posted on,03/31/2018 and covers Amount
