Non_Table_Headers,Start,End,Y_start,Y_end,Id
Invoice,11.339651107788086,56.43035125732422,37.696044921875,45.42962646484375,17
Invoice Date....,11.339651107788086,100.43034362792969,55.696044921875,63.42962646484375,17
Pay-To Number,11.339651107788086,101.69034576416016,73.696044921875,81.42962646484375,17
Bill To:,65.46759796142578,111.85240173339844,140.965576171875,149.47259521484375,17
Reclaim Center Address:,363.97760009765625,518.9024047851561,140.965576171875,149.47259521484375,17
FAX:,364.3240051269531,388.7560119628906,227.5269775390625,234.3807373046875,17
DONATE subtotals:,197.64376831054688,285.1062316894531,477.156982421875,483.3437194824219,17
APPLE & EVE LLC subtotals:,158.4037628173828,285.0962219238281,507.156982421875,513.34375,17
APPLE & EVE LLC :,212.35964965820312,318.7303466796875,530.696044921875,538.4296264648439,17
Amount Due :,467.9596252441406,548.09033203125,530.696044921875,538.4296264648439,17
